id	type	woeId	label	wikiId	longitude	latitude	population	stateLabel	stateId	countryLabel	countryId	parentId
f59e567b	CountyAdminArea	12587749	Fremont County, Colorado	Fremont_County,_Colorado	-105.47659	38.47763	47839	Colorado	dd0a216b	United States	f4aa12bb	dd0a216b
978a01f8	CountyAdminArea	12588055	Fremont County, Idaho	Fremont_County,_Idaho	-111.60197	44.31908	13099	Idaho	342f5b41	United States	f4aa12bb	342f5b41
c352cfbe	CountyAdminArea	12588307	Fremont County, Iowa	Fremont_County,_Iowa	-95.62982	40.74108	6960	Iowa	12a2001f	United States	f4aa12bb	12a2001f
a9e11581	CountyAdminArea	12590612	Fremont County, Wyoming	Fremont_County,_Wyoming	-108.77746	43.13513	39261	Wyoming	fa783aae	United States	f4aa12bb	fa783aae
06e6d2c3	Country|StateAdminArea	23424811	French Guiana	French_Guiana	-53.07823	3.95179	290691					1713c6c2
841a066b	Country|Island	23424817	French Polynesia	French_Polynesia	-149.376	-17.69017	277679					1713c6c2
b89a5d89	CityTown|CountyAdminArea	12587679	Fresno County, California	Fresno_County,_California	-119.64024	36.74631	999101	California	2902c400	United States	f4aa12bb	2902c400
cbff0f3c	CountyAdminArea	12590088	Frio County, Texas	Frio_County,_Texas	-99.10737	28.86593	20306	Texas	0722e674	United States	f4aa12bb	0722e674
d70343c1	StateAdminArea		Friuli Venezia Giulia	Friuli_Venezia_Giulia	13.116667	46.1	1216524			Italy	09edd772	09edd772
e751db33	CountyAdminArea	12589169	Frontier County, Nebraska	Frontier_County,_Nebraska	-100.38215	40.52494	2627	Nebraska	99e8e943	United States	f4aa12bb	99e8e943
9dc60a20	CountyAdminArea	12587619	Fulton County, Arkansas	Fulton_County,_Arkansas	-91.80457	36.37483	12477	Arkansas	23c77423	United States	f4aa12bb	23c77423
0549e3d8	CountyAdminArea	12587929	Fulton County, Georgia	Fulton_County,_Georgia	-84.40405	33.84417	1063937	Georgia	713f340f	United States	f4aa12bb	713f340f
211ff9dc	CountyAdminArea	12588106	Fulton County, Illinois	Fulton_County,_Illinois	-90.16185	40.44933	34340	Illinois	33204009	United States	f4aa12bb	33204009
8696ca84	CountyAdminArea	12588204	Fulton County, Indiana	Fulton_County,_Indiana	-86.20677	41.04096	19974	Indiana	2e86d5a1	United States	f4aa12bb	2e86d5a1
e582f33b	CountyAdminArea	12588513	Fulton County, Kentucky	Fulton_County,_Kentucky	-89.12565	36.57455	5969	Kentucky	c32ba685	United States	f4aa12bb	c32ba685
d4ec22f5	CountyAdminArea	12589329	Fulton County, New York	Fulton_County,_New_York	-74.43613	43.13621	53383	New York (state)	f7a12080	United States	f4aa12bb	f7a12080
654a38ac	CountyAdminArea	12589552	Fulton County, Ohio	Fulton_County,_Ohio	-84.13845	41.60266	42126	Ohio	d74c75f2	United States	f4aa12bb	d74c75f2
0891e01c	CountyAdminArea	12589756	Fulton County, Pennsylvania	Fulton_County,_Pennsylvania	-78.12303	39.94385	14530	Pennsylvania	08e34ff1	United States	f4aa12bb	08e34ff1
f5fb8d9e	CityTown	741607	Funchal	Funchal	-16.90891	32.64688	115210	Madeira	8aa42d95	Portugal	a2222b56	8aa42d95
0d7468d8	CountyAdminArea	12589170	Furnas County, Nebraska	Furnas_County,_Nebraska	-99.91319	40.17639	4676	Nebraska	99e8e943	United States	f4aa12bb	99e8e943
095bdff4	Country	23424822	Gabon	Gabon	11.59891	-0.82809	2119275					1713c6c2
8a895e96	CountyAdminArea	12587822	Gadsden County, Florida	Gadsden_County,_Florida	-84.6076	30.54983	45660	Florida	ac78ae1d	United States	f4aa12bb	ac78ae1d
dd1c598c	CountyAdminArea	12589171	Gage County, Nebraska	Gage_County,_Nebraska	-96.69028	40.26241	21513	Nebraska	99e8e943	United States	f4aa12bb	99e8e943
b73407bf	CountyAdminArea	12590089	Gaines County, Texas	Gaines_County,_Texas	-102.63375	32.74104	21492	Texas	0722e674	United States	f4aa12bb	0722e674
147c5a67	CityTown|CountyAdminArea	12590353	Galax, Virginia	Galax,_Virginia	-80.91725	36.6661	6347	Virginia	b8fc73b9	United States	f4aa12bb	b8fc73b9
2d4aa729	StateAdminArea	12578036	Galicia (Spain)	Galicia_(Spain)	-8.01621	42.79872	2701743			Spain	3e596022	3e596022
c7e83938	CountyAdminArea	12588107	Gallatin County, Illinois	Gallatin_County,_Illinois	-88.20057	37.74453	4828	Illinois	33204009	United States	f4aa12bb	33204009
00e654c1	CountyAdminArea	12588514	Gallatin County, Kentucky	Gallatin_County,_Kentucky	-84.84228	38.76076	8869	Kentucky	c32ba685	United States	f4aa12bb	c32ba685
5e6445c9	CountyAdminArea	12589096	Gallatin County, Montana	Gallatin_County,_Montana	-111.29473	45.33447	114434	Montana	50f779e5	United States	f4aa12bb	50f779e5
18e64235	CountyAdminArea	12589553	Gallia County, Ohio	Gallia_County,_Ohio	-82.3392	38.80892	29898	Ohio	d74c75f2	United States	f4aa12bb	d74c75f2
1a4b4e57	CountyAdminArea	12590090	Galveston County, Texas	Galveston_County,_Texas	-94.97579	29.31878	342139	Texas	0722e674	United States	f4aa12bb	0722e674
50c0feb3	CountyAdminArea	12589172	Garden County, Nebraska	Garden_County,_Nebraska	-102.33204	41.61533	1837	Nebraska	99e8e943	United States	f4aa12bb	99e8e943
5096b518	CountyAdminArea	12587750	Garfield County, Colorado	Garfield_County,_Colorado	-107.52601	39.72857	60061	Colorado	dd0a216b	United States	f4aa12bb	dd0a216b
d80626fa	CountyAdminArea	12589097	Garfield County, Montana	Garfield_County,_Montana	-107.02756	47.41398	1258	Montana	50f779e5	United States	f4aa12bb	50f779e5
55a299f7	CountyAdminArea	12589173	Garfield County, Nebraska	Garfield_County,_Nebraska	-98.99115	41.9145	1969	Nebraska	99e8e943	United States	f4aa12bb	99e8e943
d6866f0a	CountyAdminArea	12589638	Garfield County, Oklahoma	Garfield_County,_Oklahoma	-97.78254	36.37904	61056	Oklahoma	ca8120a2	United States	f4aa12bb	ca8120a2
db9ccd84	CountyAdminArea	12590269	Garfield County, Utah	Garfield_County,_Utah	-111.30822	37.84473	5051	Utah	6c0dccb8	United States	f4aa12bb	6c0dccb8
5a85238c	CountyAdminArea	12590451	Garfield County, Washington	Garfield_County,_Washington	-117.54619	46.35048	2225	Washington	4211c98d	United States	f4aa12bb	4211c98d
56c5cc34	CountyAdminArea	12587620	Garland County, Arkansas	Garland_County,_Arkansas	-93.09936	34.58133	99386	Arkansas	23c77423	United States	f4aa12bb	23c77423
fffc1258	CountyAdminArea	12588515	Garrard County, Kentucky	Garrard_County,_Kentucky	-84.54668	37.65139	17666	Kentucky	c32ba685	United States	f4aa12bb	c32ba685
eb641624	CountyAdminArea	12588687	Garrett County, Maryland	Garrett_County,_Maryland	-79.20048	39.46236	29014	Maryland	9a2d1dc0	United States	f4aa12bb	9a2d1dc0
83768e17	CountyAdminArea	12589639	Garvin County, Oklahoma	Garvin_County,_Oklahoma	-97.30025	34.68097	27711	Oklahoma	ca8120a2	United States	f4aa12bb	ca8120a2
256cd819	CountyAdminArea	12590091	Garza County, Texas	Garza_County,_Texas	-101.29802	33.1791	6229	Texas	0722e674	United States	f4aa12bb	0722e674
e802f749	CountyAdminArea	12589002	Gasconade County, Missouri	Gasconade_County,_Missouri	-91.50518	38.43122	14706	Missouri	2fa59461	United States	f4aa12bb	2fa59461
f4f9bd62	CountyAdminArea	12589409	Gaston County, North Carolina	Gaston_County,_North_Carolina	-81.18937	35.2839	224529	North Carolina	2a863897	United States	f4aa12bb	2a863897
6d4fd53f	CountyAdminArea	12589410	Gates County, North Carolina	Gates_County,_North_Carolina	-76.70219	36.42379	11562	North Carolina	2a863897	United States	f4aa12bb	2a863897
d3a17755	CountyAdminArea	12588401	Geary County, Kansas	Geary_County,_Kansas	-96.73235	39.04486	31670	Kansas	2d125485	United States	f4aa12bb	2d125485
42f5cae6	CountyAdminArea	12589554	Geauga County, Ohio	Geauga_County,_Ohio	-81.19728	41.53106	93649	Ohio	d74c75f2	United States	f4aa12bb	d74c75f2
14e9ca2c	CountyAdminArea	12588056	Gem County, Idaho	Gem_County,_Idaho	-116.28623	44.15885	18112	Idaho	342f5b41	United States	f4aa12bb	342f5b41
a147a66d	CountyAdminArea	12588738	Genesee County, Michigan	Genesee_County,_Michigan	-83.69272	43.00197	405813	Michigan	12ff3a85	United States	f4aa12bb	12ff3a85
3ef6f1d4	CountyAdminArea	12589330	Genesee County, New York	Genesee_County,_New_York	-78.18477	42.99788	57280	New York (state)	f7a12080	United States	f4aa12bb	f7a12080
9bf4ee98	CountyAdminArea	12587517	Geneva County, Alabama	Geneva_County,_Alabama	-85.83932	31.09642	26271	Alabama	ffba01d8	United States	f4aa12bb	ffba01d8
42235e8c	CountyAdminArea	12589003	Gentry County, Missouri	Gentry_County,_Missouri	-94.41042	40.21097	6571	Missouri	2fa59461	United States	f4aa12bb	2fa59461
d8a4c9f4	CountyAdminArea	12588903	George County, Mississippi	George_County,_Mississippi	-88.64866	30.86636	24500	Mississippi	264d2a09	United States	f4aa12bb	264d2a09
4b5af829	CountyAdminArea	12589821	Georgetown County, South Carolina	Georgetown_County,_South_Carolina	-79.34128	33.44564	62680	South Carolina	540d0a4b	United States	f4aa12bb	540d0a4b
713f340f	StateAdminArea	2347569	Georgia	Georgia_(U.S._state)	-83.44672	32.64933	10617423			United States	f4aa12bb	f4aa12bb
e73768cf	Country	23424823	Georgia (country)	Georgia_(country)	43.36579	42.31152	3726549					1713c6c2
e9f374b9	Country	23424829	Germany	Germany	10.45415	51.16418	82905782					1713c6c2
42d29f2d	Country	23424824	Ghana	Ghana	-1.03182	7.95501	29767108					1713c6c2
0271018c	Country|Island	23424825	Gibraltar	Gibraltar	-5.34829	36.13208	33718					1713c6c2
4a3c2a63	CountyAdminArea	12588205	Gibson County, Indiana	Gibson_County,_Indiana	-87.65195	38.34938	33659	Indiana	2e86d5a1	United States	f4aa12bb	2e86d5a1
ea2ec1f1	CountyAdminArea	12589938	Gibson County, Tennessee	Gibson_County,_Tennessee	-88.94934	36.00696	49133	Tennessee	487c4d03	United States	f4aa12bb	487c4d03
8ceeeab2	CountyAdminArea	12587583	Gila County, Arizona	Gila_County,_Arizona	-110.86062	33.71782	54018	Arizona	69f80530	United States	f4aa12bb	69f80530
6a5572ce	CountyAdminArea	12587823	Gilchrist County, Florida	Gilchrist_County,_Florida	-82.77929	29.74922	18582	Florida	ac78ae1d	United States	f4aa12bb	ac78ae1d
bed24b93	CountyAdminArea	12589939	Giles County, Tennessee	Giles_County,_Tennessee	-87.0305	35.22406	29464	Tennessee	487c4d03	United States	f4aa12bb	487c4d03
f1371572	CountyAdminArea	12590354	Giles County, Virginia	Giles_County,_Virginia	-80.72262	37.31455	16720	Virginia	b8fc73b9	United States	f4aa12bb	b8fc73b9
3beccad4	CountyAdminArea	12590092	Gillespie County, Texas	Gillespie_County,_Texas	-98.94582	30.31716	26988	Texas	0722e674	United States	f4aa12bb	0722e674
713e305f	CountyAdminArea	12589702	Gilliam County, Oregon	Gilliam_County,_Oregon	-120.20677	45.4388	1912	Oregon	e6c9dd69	United States	f4aa12bb	e6c9dd69
40e423bd	CountyAdminArea	12587930	Gilmer County, Georgia	Gilmer_County,_Georgia	-84.42515	34.70195	31369	Georgia	713f340f	United States	f4aa12bb	713f340f
